sample_,agebp,ageup,agelo,deptime
1,62.0,,,
2,124.0,,,
3,170.0,,,
4,196.0,,,
5,222.0,,,
6,298.0,,,
7,429.0,,,
8,561.0,,,
9,692.0,,,
10,825.0,,,
11,959.0,,,
12,1175.0,,,
13,1347.0,,,
14,1537.0,,,
15,1743.0,,,
16,1907.0,,,
17,2113.0,,,
18,2524.0,,,
19,3156.0,,,
20,3789.0,,,
21,4421.0,,,
22,4845.0,,,
23,5043.0,,,
24,5240.0,,,
25,5446.0,,,
26,5661.0,,,
27,5852.0,,,
28,5982.0,,,
29,6165.0,,,
30,6295.0,,,
31,6439.0,,,
32,6496.0,,,
33,6553.0,,,
34,6610.0,,,
35,6666.0,,,
36,6734.0,,,
37,6791.0,,,
38,6848.0,,,
39,6904.0,,,
40,6961.0,,,
41,7018.0,,,
42,7241.0,,,
43,7617.0,,,
44,7993.0,,,
45,8368.0,,,
46,8744.0,,,
47,9010.0,,,
48,9155.0,,,
49,9300.0,,,
50,9445.0,,,
51,9590.0,,,
52,9735.0,,,
53,9880.0,,,
54,10025.0,,,
55,10170.0,,,
