sample_,var_,count,varcode,varname
1,32,65.0,Aln,Alnus
1,80,2.0,Ast-T,Aster-type
1,95,52.0,Bet,Betula
1,124,2.0,Cal.v,Calluna vulgaris
1,233,3.0,Cypae,Cyperaceae
1,295,8.0,Euc,Eucalyptus
1,349,56.0,Graae,Gramineae
1,352,5.0,Hed,Hedera
1,854,2.0,Umb,Umbelliferae
1,863,2.0,Urt.d-T,Urtica dioica-type
1,945,57.0,Lyc,Lycopodium
1,953,2.0,Osm.r,Osmunda regalis
1,958,11.0,Ppd.v-T,Polypodium vulgare-type
1,961,61.0,Ptd.a,Pteridium aquilinum
1,989,4.0,Til.s,Tilletia sphagni
1,1048,1.0,Che/Amae,Chenopodiaceae/Amaranthaceae
1,1337,2.0,Pis.p,Pinus pinaster
1,1338,69.0,Pin.s-T,Pinus sylvestris-type
1,2283,12.0,Ant.f,Anthostomella fuegiana
1,2889,139.0,Cht,Chaetomium
1,3028,103.0,Eri-T,Erica-type
1,3910,2.0,Flc.t.ud,Filicales triletes undiff.
1,3911,7.0,Flc.m.ud,Filicales monoletes undiff.
1,4052,169.0,Sod-T,Sordaria-type
1,4059,1.0,Cer.sp,Cercophora sp.
1,4271,15.0,T225,Type 225
1,4274,13.0,Spi.cf.s,Spirogyra cf. scrobiculata
1,4366,62.0,Que.py-T,Quercus pyrenaica-type
2,32,49.0,Aln,Alnus
2,80,4.0,Ast-T,Aster-type
2,95,23.0,Bet,Betula
2,124,4.0,Cal.v,Calluna vulgaris
2,217,5.0,Cor,Corylus
2,233,6.0,Cypae,Cyperaceae
2,255,4.0,Dro.r-T,Drosera rotundifolia-type
2,295,14.0,Euc,Eucalyptus
2,349,136.0,Graae,Gramineae
2,352,4.0,Hed,Hedera
2,401,2.0,Lab,Labiatae
2,411,4.0,Leg,Leguminosae
2,580,15.0,Pla.l-T,Plantago lanceolata-type
2,763,4.0,Scoae,Scrophulariaceae
2,821,2.0,Til,Tilia
2,854,12.0,Umb,Umbelliferae
2,863,43.0,Urt.d-T,Urtica dioica-type
2,929,5.0,Equ,Equisetum
2,945,74.0,Lyc,Lycopodium
2,953,7.0,Osm.r,Osmunda regalis
2,958,11.0,Ppd.v-T,Polypodium vulgare-type
2,961,96.0,Ptd.a,Pteridium aquilinum
2,989,6.0,Til.s,Tilletia sphagni
2,1048,4.0,Che/Amae,Chenopodiaceae/Amaranthaceae
2,1100,2.0,Lilae.ud,Liliaceae undiff.
2,1337,18.0,Pis.p,Pinus pinaster
2,1338,156.0,Pin.s-T,Pinus sylvestris-type
2,1478,3.0,Pla.c-T,Plantago coronopus-type
2,1530,2.0,Spi,Spirogyra
2,1826,3.0,Ped.p-T,Pedicularis palustris-type
2,2283,11.0,Ant.f,Anthostomella fuegiana
2,2889,177.0,Cht,Chaetomium
2,3018,5.0,Cicoid,Cichorioideae
2,3028,158.0,Eri-T,Erica-type
2,3271,2.0,Cet.o,Ceterach officinarum
2,3282,25.0,Crdae,Carduaceae
2,3910,5.0,Flc.t.ud,Filicales triletes undiff.
2,3911,23.0,Flc.m.ud,Filicales monoletes undiff.
2,4052,59.0,Sod-T,Sordaria-type
2,4059,7.0,Cer.sp,Cercophora sp.
2,4271,1.0,T225,Type 225
2,4274,5.0,Spi.cf.s,Spirogyra cf. scrobiculata
2,4366,17.0,Que.py-T,Quercus pyrenaica-type
3,32,16.0,Aln,Alnus
3,80,4.0,Ast-T,Aster-type
3,95,9.0,Bet,Betula
3,217,1.0,Cor,Corylus
3,233,40.0,Cypae,Cyperaceae
3,255,1.0,Dro.r-T,Drosera rotundifolia-type
3,349,129.0,Graae,Gramineae
3,352,3.0,Hed,Hedera
3,401,4.0,Lab,Labiatae
3,411,16.0,Leg,Leguminosae
3,580,8.0,Pla.l-T,Plantago lanceolata-type
3,763,14.0,Scoae,Scrophulariaceae
