sample_,agebp,ageup,agelo,deptime
1,-23.0,,,
2,6.0,,,
3,34.0,,,
4,63.0,,,
5,91.0,,,
6,120.0,,,
7,150.0,,,
8,180.0,,,
9,211.0,,,
10,274.0,,,
11,307.0,,,
12,341.0,,,
13,413.0,,,
14,450.0,,,
15,570.0,,,
16,613.0,,,
17,657.0,,,
18,703.0,,,
19,751.0,,,
20,801.0,,,
21,907.0,,,
22,962.0,,,
23,1020.0,,,
24,1081.0,,,
25,1144.0,,,
26,1209.0,,,
27,1276.0,,,
28,1419.0,,,
29,1495.0,,,
30,1655.0,,,
31,1740.0,,,
32,1827.0,,,
33,1918.0,,,
34,2012.0,,,
35,2110.0,,,
36,2211.0,,,
37,2315.0,,,
38,2650.0,,,
39,2769.0,,,
40,2892.0,,,
41,3020.0,,,
42,3151.0,,,
43,3287.0,,,
44,3426.0,,,
45,3571.0,,,
46,3674.0,,,
47,3872.0,,,
48,4030.0,,,
49,4192.0,,,
50,4359.0,,,
51,4445.0,,,
52,4531.0,,,
53,4708.0,,,
54,4799.0,,,
55,5077.0,,,
56,5173.0,,,
57,5270.0,,,
58,5407.0,,,
59,5608.0,,,
60,5815.0,,,
61,6027.0,,,
62,6245.0,,,
63,6468.0,,,
64,6932.0,,,
65,7420.0,,,
66,8037.0,,,
67,8197.0,,,
68,8332.0,,,
69,8607.0,,,
70,8747.0,,,
71,8888.0,,,
72,9031.0,,,
73,9176.0,,,
74,9322.0,,,
75,9470.0,,,
76,9620.0,,,
77,9772.0,,,
78,10173.0,,,
79,10577.0,,,
80,11002.0,,,
81,11147.0,,,
82,11425.0,,,
83,11678.0,,,
84,11904.0,,,
85,12165.0,,,
86,12296.0,,,
87,12351.0,,,
88,12479.0,,,
89,12534.0,,,
90,12664.0,,,
91,12759.0,,,
92,12913.0,,,
93,13150.0,,,
94,13250.0,,,
95,13453.0,,,
96,13555.0,,,
97,13780.0,,,
