sample_,var_,count,varcode,varname
1,1,1.0,Abi,Abies
1,32,7.0,Aln,Alnus
1,66,3.0,Art,Artemisia
1,95,4.0,Bet,Betula
1,124,10.0,Cal.v,Calluna vulgaris
1,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
1,217,15.0,Cor,Corylus
1,228,3.0,Cru,Cruciferae
1,233,62.0,Cypae,Cyperaceae
1,286,25.0,Erl,Ericales
1,315,1.0,Frx,Fraxinus
1,349,148.0,Graae,Gramineae
1,392,1.0,Jug,Juglans
1,503,3.0,Myo,Myriophyllum
1,567,1.0,Pin,Pinus
1,590,1.0,Pla.ud,Plantago undiff.
1,604,1.0,Pol,Polygonum
1,620,3.0,Pop,Populus
1,624,3.0,Pot,Potamogeton
1,654,63.0,Que,Quercus
1,662,2.0,Ranae,Ranunculaceae
1,687,2.0,Rosae,Rosaceae
1,689,1.0,Rubae,Rubiaceae
1,694,2.0,Rum,Rumex
1,712,2.0,Sal,Salix
1,854,4.0,Umb,Umbelliferae
1,879,1.0,Vib,Viburnum
1,930,2.0,Fil,Filicopsida
1,977,7.0,Ind.conc,Indeterminable: concealed
1,981,54.0,Ind.ud,Indeterminable: undiff.
1,982,1.0,Ind.unkn,Indeterminable: unknown
2,1,4.0,Abi,Abies
2,32,4.0,Aln,Alnus
2,66,1.0,Art,Artemisia
2,95,4.0,Bet,Betula
2,124,13.0,Cal.v,Calluna vulgaris
2,131,1.0,Camae,Campanulaceae
2,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
2,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
2,217,9.0,Cor,Corylus
2,228,1.0,Cru,Cruciferae
2,233,46.0,Cypae,Cyperaceae
2,286,10.0,Erl,Ericales
2,349,123.0,Graae,Gramineae
2,503,1.0,Myo,Myriophyllum
2,567,2.0,Pin,Pinus
2,654,72.0,Que,Quercus
2,662,2.0,Ranae,Ranunculaceae
2,687,2.0,Rosae,Rosaceae
2,689,1.0,Rubae,Rubiaceae
2,694,3.0,Rum,Rumex
2,712,1.0,Sal,Salix
2,854,1.0,Umb,Umbelliferae
2,933,1.0,Fil.ud,Filicopsida undiff.
2,977,4.0,Ind.conc,Indeterminable: concealed
2,981,11.0,Ind.ud,Indeterminable: undiff.
3,1,4.0,Abi,Abies
3,4,3.0,Ace,Acer
3,32,3.0,Aln,Alnus
3,95,15.0,Bet,Betula
3,124,5.0,Cal.v,Calluna vulgaris
3,217,10.0,Cor,Corylus
3,228,2.0,Cru,Cruciferae
3,233,61.0,Cypae,Cyperaceae
3,286,4.0,Erl,Ericales
3,304,2.0,Fag,Fagus
3,349,42.0,Graae,Gramineae
3,394,3.0,Jun,Juniperus
3,484,14.0,Mey.t,Menyanthes trifoliata
3,503,1.0,Myo,Myriophyllum
3,523,1.0,Nym,Nymphaea
3,564,5.0,Pic,Picea
3,567,41.0,Pin,Pinus
3,620,5.0,Pop,Populus
