sample_,var_,count,varcode,varname
1,32,1.0,Aln,Alnus
1,53,3.0,Api,Apium
1,95,1.0,Bet,Betula
1,141,1.0,Cphae,Caryophyllaceae
1,165,1.0,Crl-T,Cerealia-type
1,185,2.0,Cheae,Chenopodiaceae
1,196,1.0,Ciu,Cistus
1,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
1,229,2.0,Cupae,Cupressaceae
1,233,32.0,Cypae,Cyperaceae
1,282,5.0,Eriae,Ericaceae
1,349,25.0,Graae,Gramineae
1,416,1.0,Lilae,Liliaceae
1,503,1.0,Myo,Myriophyllum
1,567,62.0,Pin,Pinus
1,576,1.0,Pla,Plantago
1,657,31.0,Que.i-T,Quercus ilex-type
1,659,6.0,Que.r-T,Quercus robur-type
1,853,1.0,Ulm,Ulmus
1,945,12.0,Lyc,Lycopodium
1,1708,25.0,Typ,Typha
1,2603,12100.0,conc.spk,Concentration spikes
1,2606,1.0,Labia(6),Labiatae (6)
1,2609,60.0,Zyg/Spi,Zygnema/Spirogyra
1,2612,2.0,...,Spike
2,53,10.0,Api,Apium
2,66,6.0,Art,Artemisia
2,95,1.0,Bet,Betula
2,141,6.0,Cphae,Caryophyllaceae
2,165,1.0,Crl-T,Cerealia-type
2,185,1.0,Cheae,Chenopodiaceae
2,196,1.0,Ciu,Cistus
2,201,2.0,Cm.Sf.A,Compositae subf. Asteroideae
2,203,13.0,Cm.Sf.C,Compositae subf. Cichorioideae
2,233,129.0,Cypae,Cyperaceae
2,282,3.0,Eriae,Ericaceae
2,349,43.0,Graae,Gramineae
2,355,1.0,Hel,Helianthemum
2,411,1.0,Leg,Leguminosae
2,413,1.0,Lem,Lemna
2,503,2.0,Myo,Myriophyllum
2,530,1.0,Ole,Olea
2,567,53.0,Pin,Pinus
2,572,1.0,Pst,Pistacia
2,576,9.0,Pla,Plantago
2,657,58.0,Que.i-T,Quercus ilex-type
2,659,4.0,Que.r-T,Quercus robur-type
2,854,1.0,Umb,Umbelliferae
2,945,26.0,Lyc,Lycopodium
2,1313,1.0,Gerae,Geraniaceae
2,1400,4.0,Mon.s,Monolete spore(s)
2,1708,14.0,Typ,Typha
2,2603,12100.0,conc.spk,Concentration spikes
2,2605,1.0,Cis.s,Cistus salvifolius
2,2606,1.0,Labia(6),Labiatae (6)
2,2607,1.0,Labia(3),Labiatae (3)
2,2609,70.0,Zyg/Spi,Zygnema/Spirogyra
2,2612,1.0,...,Spike
3,53,17.0,Api,Apium
3,119,1.0,Bux,Buxus
3,141,2.0,Cphae,Caryophyllaceae
3,185,2.0,Cheae,Chenopodiaceae
3,196,1.0,Ciu,Cistus
3,201,2.0,Cm.Sf.A,Compositae subf. Asteroideae
3,203,9.0,Cm.Sf.C,Compositae subf. Cichorioideae
3,217,1.0,Cor,Corylus
3,229,2.0,Cupae,Cupressaceae
3,233,150.0,Cypae,Cyperaceae
