sample_,agebp,ageup,agelo,deptime
1,59.0,,,
2,178.0,,,
3,237.0,,,
4,296.0,,,
5,355.0,,,
6,414.0,,,
7,473.0,,,
8,533.0,,,
9,592.0,,,
10,651.0,,,
11,710.0,,,
12,769.0,,,
13,829.0,,,
14,888.0,,,
15,947.0,,,
16,1006.0,,,
17,1065.0,,,
18,1124.0,,,
19,1184.0,,,
20,1243.0,,,
21,1302.0,,,
22,1361.0,,,
23,1420.0,,,
24,1486.0,,,
25,1558.0,,,
26,1630.0,,,
27,1701.0,,,
28,1773.0,,,
29,1845.0,,,
30,1917.0,,,
31,1989.0,,,
32,2060.0,,,
33,2132.0,,,
34,2204.0,,,
35,2276.0,,,
36,2348.0,,,
37,2419.0,,,
38,2491.0,,,
39,2707.0,,,
40,3066.0,,,
41,3209.0,,,
42,3640.0,,,
43,3927.0,,,
44,3999.0,,,
45,4215.0,,,
46,4286.0,,,
47,4358.0,,,
48,4430.0,,,
49,4469.0,,,
50,4507.0,,,
51,4546.0,,,
52,4662.0,,,
53,4700.0,,,
54,4739.0,,,
55,4777.0,,,
56,4816.0,,,
57,4854.0,,,
58,4893.0,,,
59,4932.0,,,
60,4970.0,,,
61,5009.0,,,
62,5047.0,,,
63,5086.0,,,
64,5125.0,,,
65,5163.0,,,
66,5202.0,,,
67,5240.0,,,
68,5279.0,,,
69,5317.0,,,
70,5356.0,,,
71,5395.0,,,
72,5433.0,,,
73,5472.0,,,
74,5510.0,,,
75,5549.0,,,
76,5588.0,,,
77,5626.0,,,
78,5665.0,,,
79,5703.0,,,
80,5742.0,,,
81,5780.0,,,
82,5819.0,,,
83,5858.0,,,
84,5896.0,,,
85,5935.0,,,
86,5973.0,,,
87,6012.0,,,
88,6051.0,,,
89,6089.0,,,
90,6128.0,,,
91,6166.0,,,
92,6205.0,,,
93,6243.0,,,
94,6282.0,,,
95,6321.0,,,
96,6359.0,,,
97,6398.0,,,
98,6436.0,,,
99,6475.0,,,
100,6514.0,,,
101,6552.0,,,
102,6591.0,,,
103,6629.0,,,
104,6668.0,,,
105,6706.0,,,
106,6745.0,,,
107,6784.0,,,
108,6822.0,,,
109,6861.0,,,
110,6977.0,,,
111,7015.0,,,
112,7054.0,,,
113,7092.0,,,
114,7193.0,,,
115,7310.0,,,
116,7427.0,,,
117,7544.0,,,
118,7661.0,,,
119,7778.0,,,
120,7895.0,,,
121,8011.0,,,
122,8128.0,,,
123,8245.0,,,
124,8362.0,,,
125,8479.0,,,
126,8596.0,,,
127,8713.0,,,
128,8829.0,,,
129,8946.0,,,
130,9063.0,,,
131,9180.0,,,
132,9268.0,,,
133,9312.0,,,
134,9357.0,,,
135,9401.0,,,
136,9446.0,,,
137,9490.0,,,
138,9535.0,,,
139,9579.0,,,
140,9624.0,,,
141,9668.0,,,
142,9713.0,,,
143,9757.0,,,
144,9802.0,,,
145,9846.0,,,
146,9891.0,,,
147,9935.0,,,
148,9980.0,,,
149,10439.0,,,
150,10897.0,,,
151,11356.0,,,
152,11815.0,,,
153,12273.0,,,
154,12732.0,,,
155,13191.0,,,
156,14108.0,,,
157,15025.0,,,
158,15943.0,,,
159,16860.0,,,
160,17319.0,,,
