sample_,var_,count,varcode,varname
1,66,27.0,Art,Artemisia
1,95,1.0,Bet,Betula
1,165,2.0,Crl-T,Cerealia-type
1,185,108.0,Cheae,Chenopodiaceae
1,196,1.0,Ciu,Cistus
1,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
1,203,61.0,Cm.Sf.C,Compositae subf. Cichorioideae
1,208,1.0,Con,Convolvulus
1,272,2.0,Eph,Ephedra
1,282,4.0,Eriae,Ericaceae
1,298,1.0,Eup,Euphorbia
1,349,7.0,Graae,Gramineae
1,401,1.0,Lab,Labiatae
1,461,1.0,Lyt,Lythrum
1,530,28.0,Ole,Olea
1,562,2.0,Phi,Phillyrea
1,567,40.0,Pin,Pinus
1,572,1.0,Pst,Pistacia
1,576,2.0,Pla,Plantago
1,657,14.0,Que.i-T,Quercus ilex-type
1,659,3.0,Que.r-T,Quercus robur-type
1,687,1.0,Rosae,Rosaceae
1,816,1.0,Tha,Thalictrum
1,853,1.0,Ulm,Ulmus
1,1141,2.0,Monocoty,Monocotyledones
1,1546,3.0,Thm,Thymelaea
1,2610,3.0,PseudoS,Pseudoschizaea
2,66,151.0,Art,Artemisia
2,95,1.0,Bet,Betula
2,141,1.0,Cphae,Caryophyllaceae
2,185,14183.0,Cheae,Chenopodiaceae
2,196,2.0,Ciu,Cistus
2,201,13.0,Cm.Sf.A,Compositae subf. Asteroideae
2,203,53.0,Cm.Sf.C,Compositae subf. Cichorioideae
2,233,5.0,Cypae,Cyperaceae
2,272,5.0,Eph,Ephedra
2,282,5.0,Eriae,Ericaceae
2,315,1.0,Frx,Fraxinus
2,349,7.0,Graae,Gramineae
2,401,37.0,Lab,Labiatae
2,411,5.0,Leg,Leguminosae
2,461,2.0,Lyt,Lythrum
2,530,87.0,Ole,Olea
2,562,3.0,Phi,Phillyrea
2,567,24.0,Pin,Pinus
2,572,2.0,Pst,Pistacia
2,576,8.0,Pla,Plantago
2,657,37.0,Que.i-T,Quercus ilex-type
2,659,7.0,Que.r-T,Quercus robur-type
2,689,1.0,Rubae,Rubiaceae
2,694,1.0,Rum,Rumex
2,749,1.0,Sca,Scabiosa
2,793,1.0,Spa-T,Sparganium-type
2,816,2.0,Tha,Thalictrum
2,848,2.0,Typ.l-T,Typha latifolia-type
2,854,10.0,Umb,Umbelliferae
2,1546,4.0,Thm,Thymelaea
2,2610,2.0,PseudoS,Pseudoschizaea
3,66,75.0,Art,Artemisia
3,165,3.0,Crl-T,Cerealia-type
3,185,24924.0,Cheae,Chenopodiaceae
3,196,4.0,Ciu,Cistus
3,201,11.0,Cm.Sf.A,Compositae subf. Asteroideae
3,203,41.0,Cm.Sf.C,Compositae subf. Cichorioideae
3,233,1.0,Cypae,Cyperaceae
3,272,3.0,Eph,Ephedra
3,298,2.0,Eup,Euphorbia
3,315,4.0,Frx,Fraxinus
3,349,15.0,Graae,Gramineae
3,355,2.0,Hel,Helianthemum
3,394,3.0,Jun,Juniperus
3,401,15.0,Lab,Labiatae
3,411,6.0,Leg,Leguminosae
3,461,2.0,Lyt,Lythrum
3,530,26.0,Ole,Olea
3,562,6.0,Phi,Phillyrea
3,567,38.0,Pin,Pinus
3,572,5.0,Pst,Pistacia
3,576,19.0,Pla,Plantago
3,604,1.0,Pol,Polygonum
3,657,12.0,Que.i-T,Quercus ilex-type
3,659,5.0,Que.r-T,Quercus robur-type
3,675,1.0,Rha,Rhamnus
3,816,5.0,Tha,Thalictrum
3,854,11.0,Umb,Umbelliferae
3,1118,1.0,Cen-T,Centaurea-type
3,1141,1.0,Monocoty,Monocotyledones
3,1396,5.0,Trl.s,Trilete spore(s)
3,1400,1.0,Mon.s,Monolete spore(s)
3,2610,8.0,PseudoS,Pseudoschizaea
4,66,202.0,Art,Artemisia
4,141,1.0,Cphae,Caryophyllaceae
4,165,1.0,Crl-T,Cerealia-type
4,185,772.0,Cheae,Chenopodiaceae
4,196,2.0,Ciu,Cistus
4,201,32.0,Cm.Sf.A,Compositae subf. Asteroideae
4,203,51.0,Cm.Sf.C,Compositae subf. Cichorioideae
4,233,2.0,Cypae,Cyperaceae
4,272,1.0,Eph,Ephedra
4,282,2.0,Eriae,Ericaceae
4,315,1.0,Frx,Fraxinus
4,349,3.0,Graae,Gramineae
4,355,3.0,Hel,Helianthemum
4,394,1.0,Jun,Juniperus
4,401,3.0,Lab,Labiatae
4,411,7.0,Leg,Leguminosae
4,530,15.0,Ole,Olea
4,562,5.0,Phi,Phillyrea
4,567,3.0,Pin,Pinus
4,572,2.0,Pst,Pistacia
4,576,6.0,Pla,Plantago
4,604,1.0,Pol,Polygonum
4,657,15.0,Que.i-T,Quercus ilex-type
4,662,1.0,Ranae,Ranunculaceae
4,807,1.0,Tam,Tamarix
4,816,11.0,Tha,Thalictrum
4,854,36.0,Umb,Umbelliferae
4,897,1.0,Vts,Vitis
4,1118,2.0,Cen-T,Centaurea-type
4,1396,2.0,Trl.s,Trilete spore(s)
4,1546,2.0,Thm,Thymelaea
4,2610,3.0,PseudoS,Pseudoschizaea
5,66,199.0,Art,Artemisia
5,185,2175.0,Cheae,Chenopodiaceae
5,201,22.0,Cm.Sf.A,Compositae subf. Asteroideae
5,203,65.0,Cm.Sf.C,Compositae subf. Cichorioideae
5,233,2.0,Cypae,Cyperaceae
5,272,4.0,Eph,Ephedra
5,282,6.0,Eriae,Ericaceae
5,298,1.0,Eup,Euphorbia
5,349,6.0,Graae,Gramineae
5,355,1.0,Hel,Helianthemum
5,394,1.0,Jun,Juniperus
5,401,5.0,Lab,Labiatae
5,411,3.0,Leg,Leguminosae
5,530,21.0,Ole,Olea
5,562,5.0,Phi,Phillyrea
5,567,14.0,Pin,Pinus
5,576,1.0,Pla,Plantago
5,657,19.0,Que.i-T,Quercus ilex-type
5,659,2.0,Que.r-T,Quercus robur-type
5,694,1.0,Rum,Rumex
5,816,8.0,Tha,Thalictrum
5,854,10.0,Umb,Umbelliferae
5,2610,7.0,PseudoS,Pseudoschizaea
6,66,335.0,Art,Artemisia
6,136,1.0,Car,Carpinus
6,141,1.0,Cphae,Caryophyllaceae
6,185,1217.0,Cheae,Chenopodiaceae
