sample_,var_,count,varcode,varname
1,196,4.0,Ciu,Cistus
1,203,3.0,Cm.Sf.C,Compositae subf. Cichorioideae
1,233,1.0,Cypae,Cyperaceae
1,272,4.0,Eph,Ephedra
1,349,6.0,Graae,Gramineae
1,394,2.0,Jun,Juniperus
1,415,1.0,Lig,Ligustrum
1,531,6.0,Oleae,Oleaceae
1,567,13.0,Pin,Pinus
1,572,3.0,Pst,Pistacia
1,657,8.0,Que.i-T,Quercus ilex-type
1,793,12.0,Spa-T,Sparganium-type
1,854,2.0,Umb,Umbelliferae
2,32,2.0,Aln,Alnus
2,66,7.0,Art,Artemisia
2,95,2.0,Bet,Betula
2,165,1.0,Crl-T,Cerealia-type
2,185,8.0,Cheae,Chenopodiaceae
2,201,2.0,Cm.Sf.A,Compositae subf. Asteroideae
2,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
2,217,1.0,Cor,Corylus
2,233,7.0,Cypae,Cyperaceae
2,272,1.0,Eph,Ephedra
2,282,11.0,Eriae,Ericaceae
2,349,25.0,Graae,Gramineae
2,392,1.0,Jug,Juglans
2,394,1.0,Jun,Juniperus
2,531,30.0,Oleae,Oleaceae
2,562,1.0,Phi,Phillyrea
2,567,42.0,Pin,Pinus
2,572,2.0,Pst,Pistacia
2,576,16.0,Pla,Plantago
2,657,24.0,Que.i-T,Quercus ilex-type
2,659,4.0,Que.r-T,Quercus robur-type
2,694,2.0,Rum,Rumex
2,793,48.0,Spa-T,Sparganium-type
2,853,1.0,Ulm,Ulmus
2,854,1.0,Umb,Umbelliferae
2,1163,1.0,Canae,Cannabaceae
2,1546,1.0,Thm,Thymelaea
2,2610,1.0,PseudoS,Pseudoschizaea
3,185,1.0,Cheae,Chenopodiaceae
3,196,2.0,Ciu,Cistus
3,272,6.0,Eph,Ephedra
3,282,2.0,Eriae,Ericaceae
3,349,6.0,Graae,Gramineae
3,394,4.0,Jun,Juniperus
3,415,1.0,Lig,Ligustrum
3,531,11.0,Oleae,Oleaceae
3,567,15.0,Pin,Pinus
3,572,5.0,Pst,Pistacia
3,576,1.0,Pla,Plantago
3,657,11.0,Que.i-T,Quercus ilex-type
3,659,4.0,Que.r-T,Quercus robur-type
3,793,15.0,Spa-T,Sparganium-type
3,854,2.0,Umb,Umbelliferae
4,66,2.0,Art,Artemisia
4,95,2.0,Bet,Betula
4,185,1.0,Cheae,Chenopodiaceae
4,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
4,233,3.0,Cypae,Cyperaceae
4,282,8.0,Eriae,Ericaceae
4,349,10.0,Graae,Gramineae
4,531,23.0,Oleae,Oleaceae
4,562,4.0,Phi,Phillyrea
4,567,66.0,Pin,Pinus
4,576,2.0,Pla,Plantago
4,657,16.0,Que.i-T,Quercus ilex-type
4,694,1.0,Rum,Rumex
4,722,1.0,San.m,Sanguisorba minor
4,793,9.0,Spa-T,Sparganium-type
4,854,1.0,Umb,Umbelliferae
4,1163,5.0,Canae,Cannabaceae
4,1396,1.0,Trl.s,Trilete spore(s)
4,1400,1.0,Mon.s,Monolete spore(s)
5,66,6.0,Art,Artemisia
5,185,1.0,Cheae,Chenopodiaceae
5,196,3.0,Ciu,Cistus
5,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
5,203,9.0,Cm.Sf.C,Compositae subf. Cichorioideae
5,233,6.0,Cypae,Cyperaceae
5,282,2.0,Eriae,Ericaceae
5,349,9.0,Graae,Gramineae
5,365,1.0,Hpp,Hippophae
5,394,2.0,Jun,Juniperus
5,415,2.0,Lig,Ligustrum
5,531,20.0,Oleae,Oleaceae
5,567,28.0,Pin,Pinus
5,572,5.0,Pst,Pistacia
5,576,1.0,Pla,Plantago
5,657,13.0,Que.i-T,Quercus ilex-type
5,659,5.0,Que.r-T,Quercus robur-type
5,722,1.0,San.m,Sanguisorba minor
5,793,7.0,Spa-T,Sparganium-type
5,821,1.0,Til,Tilia
5,854,1.0,Umb,Umbelliferae
5,1396,3.0,Trl.s,Trilete spore(s)
5,2610,1.0,PseudoS,Pseudoschizaea
6,66,1.0,Art,Artemisia
6,185,18.0,Cheae,Chenopodiaceae
6,201,2.0,Cm.Sf.A,Compositae subf. Asteroideae
6,203,59.0,Cm.Sf.C,Compositae subf. Cichorioideae
6,217,1.0,Cor,Corylus
6,233,4.0,Cypae,Cyperaceae
6,282,2.0,Eriae,Ericaceae
6,349,3.0,Graae,Gramineae
6,531,4.0,Oleae,Oleaceae
6,567,19.0,Pin,Pinus
6,576,2.0,Pla,Plantago
6,657,6.0,Que.i-T,Quercus ilex-type
6,659,3.0,Que.r-T,Quercus robur-type
6,793,5.0,Spa-T,Sparganium-type
6,854,4.0,Umb,Umbelliferae
6,1396,3.0,Trl.s,Trilete spore(s)
6,2610,28.0,PseudoS,Pseudoschizaea
7,66,1.0,Art,Artemisia
7,185,22.0,Cheae,Chenopodiaceae
7,196,5.0,Ciu,Cistus
7,201,16.0,Cm.Sf.A,Compositae subf. Asteroideae
7,203,637.0,Cm.Sf.C,Compositae subf. Cichorioideae
7,233,6.0,Cypae,Cyperaceae
7,272,6.0,Eph,Ephedra
7,282,3.0,Eriae,Ericaceae
7,349,22.0,Graae,Gramineae
7,394,4.0,Jun,Juniperus
7,415,9.0,Lig,Ligustrum
7,531,19.0,Oleae,Oleaceae
7,567,36.0,Pin,Pinus
7,572,9.0,Pst,Pistacia
7,657,15.0,Que.i-T,Quercus ilex-type
7,659,3.0,Que.r-T,Quercus robur-type
7,793,5.0,Spa-T,Sparganium-type
7,854,5.0,Umb,Umbelliferae
7,1396,24.0,Trl.s,Trilete spore(s)
7,2610,39.0,PseudoS,Pseudoschizaea
8,185,10.0,Cheae,Chenopodiaceae
8,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
8,203,88.0,Cm.Sf.C,Compositae subf. Cichorioideae
8,233,3.0,Cypae,Cyperaceae
8,272,1.0,Eph,Ephedra
8,282,2.0,Eriae,Ericaceae
8,349,1.0,Graae,Gramineae
8,531,4.0,Oleae,Oleaceae
8,567,23.0,Pin,Pinus
8,576,3.0,Pla,Plantago
8,657,5.0,Que.i-T,Quercus ilex-type
8,694,1.0,Rum,Rumex
8,793,2.0,Spa-T,Sparganium-type
8,854,2.0,Umb,Umbelliferae
8,1396,3.0,Trl.s,Trilete spore(s)
8,1400,2.0,Mon.s,Monolete spore(s)
8,2610,6.0,PseudoS,Pseudoschizaea
9,66,7.0,Art,Artemisia
9,119,1.0,Bux,Buxus
9,185,5.0,Cheae,Chenopodiaceae
9,196,4.0,Ciu,Cistus
9,201,8.0,Cm.Sf.A,Compositae subf. Asteroideae
9,203,26.0,Cm.Sf.C,Compositae subf. Cichorioideae
9,217,1.0,Cor,Corylus
9,233,7.0,Cypae,Cyperaceae
9,272,9.0,Eph,Ephedra
9,282,4.0,Eriae,Ericaceae
9,349,27.0,Graae,Gramineae
9,394,7.0,Jun,Juniperus
9,415,12.0,Lig,Ligustrum
9,531,50.0,Oleae,Oleaceae
9,567,29.0,Pin,Pinus
9,572,12.0,Pst,Pistacia
9,576,2.0,Pla,Plantago
9,657,53.0,Que.i-T,Quercus ilex-type
9,659,17.0,Que.r-T,Quercus robur-type
9,694,2.0,Rum,Rumex
9,793,15.0,Spa-T,Sparganium-type
9,854,3.0,Umb,Umbelliferae
9,897,1.0,Vts,Vitis
9,1396,4.0,Trl.s,Trilete spore(s)
9,2610,16.0,PseudoS,Pseudoschizaea
10,66,11.0,Art,Artemisia
10,95,2.0,Bet,Betula
10,185,3.0,Cheae,Chenopodiaceae
10,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
10,203,3.0,Cm.Sf.C,Compositae subf. Cichorioideae
10,233,2.0,Cypae,Cyperaceae
10,282,4.0,Eriae,Ericaceae
10,349,13.0,Graae,Gramineae
10,531,31.0,Oleae,Oleaceae
10,567,56.0,Pin,Pinus
10,576,3.0,Pla,Plantago
10,657,42.0,Que.i-T,Quercus ilex-type
10,659,7.0,Que.r-T,Quercus robur-type
10,694,4.0,Rum,Rumex
10,749,1.0,Sca,Scabiosa
10,793,25.0,Spa-T,Sparganium-type
10,897,1.0,Vts,Vitis
10,1163,1.0,Canae,Cannabaceae
11,32,2.0,Aln,Alnus
11,66,10.0,Art,Artemisia
11,185,9.0,Cheae,Chenopodiaceae
11,196,1.0,Ciu,Cistus
11,203,2.0,Cm.Sf.C,Compositae subf. Cichorioideae
11,217,1.0,Cor,Corylus
11,233,2.0,Cypae,Cyperaceae
11,282,8.0,Eriae,Ericaceae
11,349,9.0,Graae,Gramineae
11,531,52.0,Oleae,Oleaceae
11,567,104.0,Pin,Pinus
11,572,3.0,Pst,Pistacia
11,576,6.0,Pla,Plantago
11,657,22.0,Que.i-T,Quercus ilex-type
11,659,14.0,Que.r-T,Quercus robur-type
11,694,3.0,Rum,Rumex
11,793,1.0,Spa-T,Sparganium-type
11,854,3.0,Umb,Umbelliferae
12,66,14.0,Art,Artemisia
12,95,1.0,Bet,Betula
12,119,1.0,Bux,Buxus
12,165,1.0,Crl-T,Cerealia-type
12,185,7.0,Cheae,Chenopodiaceae
12,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
12,233,5.0,Cypae,Cyperaceae
12,272,1.0,Eph,Ephedra
12,282,6.0,Eriae,Ericaceae
12,349,26.0,Graae,Gramineae
12,394,4.0,Jun,Juniperus
12,531,59.0,Oleae,Oleaceae
12,567,98.0,Pin,Pinus
12,572,28.0,Pst,Pistacia
12,576,3.0,Pla,Plantago
12,657,23.0,Que.i-T,Quercus ilex-type
12,659,2.0,Que.r-T,Quercus robur-type
12,662,1.0,Ranae,Ranunculaceae
12,694,1.0,Rum,Rumex
12,793,8.0,Spa-T,Sparganium-type
12,848,1.0,Typ.l-T,Typha latifolia-type
12,897,1.0,Vts,Vitis
12,1396,2.0,Trl.s,Trilete spore(s)
12,1400,3.0,Mon.s,Monolete spore(s)
12,2610,2.0,PseudoS,Pseudoschizaea
13,32,3.0,Aln,Alnus
13,66,17.0,Art,Artemisia
13,95,4.0,Bet,Betula
13,185,47.0,Cheae,Chenopodiaceae
13,196,1.0,Ciu,Cistus
13,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
13,203,5.0,Cm.Sf.C,Compositae subf. Cichorioideae
13,217,5.0,Cor,Corylus
13,233,10.0,Cypae,Cyperaceae
13,272,2.0,Eph,Ephedra
13,282,6.0,Eriae,Ericaceae
13,304,1.0,Fag,Fagus
13,349,11.0,Graae,Gramineae
13,392,1.0,Jug,Juglans
13,531,88.0,Oleae,Oleaceae
13,567,104.0,Pin,Pinus
13,572,2.0,Pst,Pistacia
13,576,6.0,Pla,Plantago
13,657,31.0,Que.i-T,Quercus ilex-type
13,659,14.0,Que.r-T,Quercus robur-type
13,854,1.0,Umb,Umbelliferae
13,2610,3.0,PseudoS,Pseudoschizaea
14,32,3.0,Aln,Alnus
14,66,26.0,Art,Artemisia
14,95,3.0,Bet,Betula
14,185,58.0,Cheae,Chenopodiaceae
14,196,1.0,Ciu,Cistus
